user_id,full_name,age,dob,gender,mobile,address_city,aadhaar_no,pan_no,voter_id,driving_license,ration_card,birth_cert,caste_cert,community_cert,marksheet_10,marksheet_12,tc_doc,competitive_exam,employment_card,esic_card,epf_uan,mgnrega_card,e_shram,lwb_id,pm_kisan,patta_land,itr_filing,vehicle_rc,puc_cert,fastag,bus_pass,passport,visa,vaccine_cert,ayushman_bharat,medical_insurance,disability_cert,marriage_cert,divorce_cert,will_doc,police_verification,service_conn_eb,gas_connection,old_age_pension
11,Mohammed Ali,40,1985-01-01,M,9911223344,Cochin,101112131415,ASDFG1234H,KL/08/009/443322,DL-KL-2005-011,RC-KL-1011,BC-1985-011,N/A,COM-MBC-011,KER-10-2000,KER-12-2002,TC-2002-011,N/A,EMP-KL-2005,1034567890,100400400400,N/A,N/A,LWB-KL-2020,N/A,N/A,ITR-2024-ACK11,KL01BJ9999,PUC-2024-011,FT-1011,N/A,J9988776,V-SA-H1,VAC-COV-1011,N/A,N/A,N/A,MAR-2010-011,N/A,N/A,N/A,KSEB-8899,BHARAT-22,N/A
12,Sneha Patil,17,2008-12-12,F,N/A,Pune,161718192021,N/A,N/A,N/A,N/A,BC-2008-012,N/A,N/A,MH-10-2023,N/A,TC-2023-012,NEET-2025-ADM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PMPML-PASS-12,N/A,N/A,VAC-COV-1012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,John Dsouza,55,1970-02-28,M,9122334455,Goa,222324252627,POIUY0987M,GA/09/010/776655,DL-GA-1995-013,RC-GA-1013,BC-1970-013,N/A,N/A,GOA-10-1985,N/A,TC-1985-013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PATTA-GOA-99,ITR-2024-ACK13,GA03MM1234,PUC-2024-013,FT-1013,N/A,L1122334,N/A,VAC-COV-1013,AB-PMJAY-1013,N/A,N/A,MAR-1995-013,N/A,N/A,PCC-2020-013,GED-3344,HP-1122,N/A
14,Laxmi Bai,62,1963-05-05,F,8899776655,Bhopal,282930313233,MNBVC5432N,MP/10/011/990088,N/A,RC-MP-BPL,BC-1963-014,CST-SC-014,COM-SC-014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MGNREGA-MP-14,ESHRAM-1014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1014,AB-PMJAY-1014,N/A,N/A,N/A,N/A,N/A,N/A,MPPKVVCL-11,N/A,OAP-MP-2023
15,Arjun Reddy,25,2000-09-09,M,9090909090,Hyderabad,343536373839,LKJHG6543B,AP/11/012/111222,DL-AP-2019-015,RC-AP-1015,BC-2000-015,CST-GEN-015,N/A,AP-10-2015,AP-12-2017,TC-2017-015,GATE-2023,EMP-AP-2020,N/A,100500500500,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK15,AP09CF9988,PUC-2024-015,FT-1015,N/A,M5566778,V-DU-W1,VAC-COV-1015,N/A,MED-SBI-1015,N/A,N/A,N/A,N/A,N/A,TSSPDCL-44,N/A,N/A
16,Deepa Sethi,19,2006-03-15,F,8181818181,Chandigarh,404142434445,NBVCX1234C,PB/12/013/333444,DL-PB-2024-016,RC-PB-1016,BC-2006-016,N/A,N/A,PB-10-2021,PB-12-2023,TC-2023-016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PB10EQ1111,PUC-2024-016,FT-1016,CTU-PASS-16,N/A,N/A,VAC-COV-1016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PSPCL-99,N/A,N/A
17,Manoj Tiwary,35,1990-10-10,M,7272727272,Patna,464748495051,YUIOP7890D,BR/13/014/555666,DL-BR-2012-017,RC-BR-1017,BC-1990-017,CST-OBC-017,COM-BC-017,BR-10-2005,N/A,TC-2005-017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PMK-887766,PATTA-BR-99,N/A,BR01PA1234,PUC-2024-017,N/A,N/A,N/A,N/A,VAC-COV-1017,AB-PMJAY-1017,N/A,N/A,MAR-2015-017,N/A,N/A,N/A,BSPHCL-22,N/A,N/A
18,Riya Sen,14,2011-08-08,F,N/A,Kolkata,525354555657,N/A,N/A,N/A,N/A,BC-2011-018,N/A,N/A,N/A,N/A,N/A,OLYMPIAD-2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1018,N/A,N/A,DIS-60-VI,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,Gurpreet Singh,48,1977-01-20,M,9393939393,Amritsar,585960616263,TREWQ5432E,PB/14/015/777888,DL-PB-1999-019,RC-PB-1019,BC-1977-019,N/A,N/A,PB-10-1992,PB-12-1994,TC-1994-019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PMK-554433,PATTA-PB-10,ITR-2024-ACK19,PB08CA0001,PUC-2024-019,FT-1019,N/A,K9988776,V-CA-T1,VAC-COV-1019,N/A,MED-MAX-1019,N/A,MAR-2000-019,N/A,N/A,N/A,PSPCL-55,INDANE-11,N/A
20,Meera Joshi,29,1996-12-01,F,8484848484,Pune,646566676869,GFDSA0987F,MH/15/016/999000,DL-MH-2016-020,RC-MH-1020,BC-1996-020,CST-GEN-020,N/A,MH-10-2011,MH-12-2013,TC-2013-020,MPSC-2022,EMP-MH-2018,1045678901,100600600600,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK20,MH02DW2222,PUC-2024-020,FT-1020,N/A,N/A,N/A,VAC-COV-1020,N/A,MED-BAJAJ-20,N/A,MAR-2021-020,N/A,N/A,N/A,MSEDCL-44,MNGL-99,N/A
21,Suresh Raina,38,1987-11-27,M,9595959595,Lucknow,707172737475,VCXZA5678G,UP/16/017/111222,DL-UP-2008-021,RC-UP-1021,BC-1987-021,N/A,N/A,UP-10-2002,UP-12-2004,TC-2004-021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK21,UP32LM3333,PUC-2024-021,FT-1021,N/A,L2233445,N/A,VAC-COV-1021,N/A,MED-LIC-1021,N/A,MAR-2012-021,N/A,N/A,PCC-2024-021,UPPCL-77,IGL-22,N/A
22,Kavita Krishnan,21,2004-02-14,F,8686868686,Chennai,767778798081,HJKLM1234H,TN/17/018/333444,DL-TN-2023-022,RC-TN-1022,BC-2004-022,CST-BC-022,COM-BC-022,TN-10-2019,TN-12-2021,TC-2021-022,NEET-PG-2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TN09BB4444,PUC-2024-022,FT-1022,CHN-ONE-2022,N/A,N/A,VAC-COV-1022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TNEB-55,N/A,N/A
23,Rohan Das,10,2015-05-05,M,N/A,Bhubaneswar,828384858687,N/A,N/A,N/A,N/A,BC-2015-023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1023,AB-PMJAY-1023,N/A,DIS-80-VI,N/A,N/A,GUR-CERT-023,N/A,N/A,N/A,N/A
24,Bimal Roy,75,1950-01-01,M,7000070001,Kolkata,888990919293,YTREW9876J,WB/18/019/555666,N/A,RC-WB-1024,BC-1950-024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1024,AB-PMJAY-1024,N/A,N/A,MAR-1975-024,N/A,WILL-REG-2024,N/A,CESC-99,N/A,OAP-WB-2015
25,Nisha Kapoor,31,1994-06-15,F,9797979797,Gurgaon,949596979899,UYTRF5432K,HR/19/020/777888,DL-HR-2014-025,RC-HR-1025,BC-1994-025,CST-GEN-025,N/A,HR-10-2009,HR-12-2011,TC-2011-025,N/A,EMP-HR-2016,1056789012,100700700700,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK25,HR05CC5555,PUC-2024-025,FT-1025,N/A,M3344556,V-FR-T1,VAC-COV-1025,N/A,MED-TATA-1025,N/A,MAR-2018-025,N/A,N/A,N/A,DHBVN-22,IGL-99,N/A
26,Vijay Kumar,42,1983-09-09,M,9090909001,Mysore,100101102103,NBVCX0987L,KA/20/021/999000,DL-KA-2005-026,RC-KA-1026,BC-1983-026,CST-SC-026,COM-SC-026,KA-10-1998,KA-12-2000,TC-2000-026,KPSC-2010,EMP-KA-2005,N/A,N/A,MGNREGA-KA-26,ESHRAM-1026,LWB-KA-2022,PMK-990011,PATTA-KA-45,N/A,KA09ZZ8888,PUC-2024-026,N/A,N/A,N/A,N/A,VAC-COV-1026,AB-PMJAY-1026,N/A,N/A,MAR-2008-026,N/A,N/A,N/A,CHESCOM-11,N/A,N/A
27,Geeta Phogat,24,2001-11-20,F,8181818182,Rohtak,106107108109,MJUYT1234N,HR/21/022/111222,DL-HR-2020-027,RC-HR-1027,BC-2001-027,CST-OBC-027,N/A,HR-10-2016,HR-12-2018,TC-2018-027,SSC-CGL-2024,EMP-HR-2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HR12XX1212,PUC-2024-027,FT-1027,N/A,N/A,N/A,VAC-COV-1027,N/A,MED-REL-1027,N/A,MAR-2023-027,N/A,N/A,PCC-2023-027,UHBVN-55,N/A,N/A
28,Chotu Ram,36,1989-03-03,M,7272727273,Jaipur,112113114115,BVCXZ5678P,RJ/22/023/333444,DL-RJ-2010-028,RC-RJ-1028,BC-1989-028,CST-ST-028,COM-ST-028,RJ-10-2004,N/A,TC-2004-028,N/A,N/A,N/A,N/A,MGNREGA-RJ-28,ESHRAM-1028,N/A,PMK-223344,PATTA-RJ-11,N/A,RJ14DD4444,PUC-2024-028,N/A,N/A,N/A,N/A,VAC-COV-1028,AB-PMJAY-1028,N/A,N/A,MAR-2010-028,N/A,N/A,N/A,JVVNL-99,N/A,N/A
29,Baby Sana,3,2022-04-10,F,N/A,Imphal,118119120121,N/A,N/A,N/A,N/A,BC-2022-029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1029,AB-PMJAY-1029,N/A,N/A,N/A,N/A,GUR-CERT-029,N/A,N/A,N/A,N/A
30,Harish Rawat,68,1957-07-07,M,9393939394,Dehradun,124125126127,HGFDS4321Q,UK/23/024/555666,DL-UK-1980-030,RC-UK-1030,BC-1957-030,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PATTA-UK-05,ITR-2024-ACK30,UK07AA9999,PUC-2024-030,FT-1030,N/A,N/A,N/A,VAC-COV-1030,AB-PMJAY-1030,N/A,N/A,MAR-1985-030,N/A,WILL-REG-2023,N/A,UPCL-22,HP-77,OAP-UK-2020
31,Zoya Khan,27,1998-08-15,F,8484848485,Hyderabad,130131132133,JKLMN0987R,TS/24/025/777888,DL-TS-2019-031,RC-TS-1031,BC-1998-031,CST-GEN-031,N/A,TS-10-2013,TS-12-2015,TC-2015-031,IBPS-2024,EMP-TS-2020,1067890123,100800800800,N/A,N/A,LWB-TS-2022,N/A,N/A,ITR-2024-ACK31,TS09CC2222,PUC-2024-031,FT-1031,N/A,N/A,N/A,VAC-COV-1031,N/A,MED-NIC-1031,N/A,N/A,DIV-2023-031,N/A,PCC-2021-031,TSSPDCL-66,BHARAT-88,N/A
32,Peter Paul,52,1973-12-25,M,9595959596,Kochi,136137138139,TREWQ6543S,KL/25/026/999000,DL-KL-1995-032,RC-KL-1032,BC-1973-032,N/A,COM-BC-032,KER-10-1988,KER-12-1990,TC-1990-032,N/A,N/A,N/A,N/A,N/A,N/A,LWB-KL-2010,PMK-445566,PATTA-KL-22,N/A,KL07DD1111,PUC-2024-032,N/A,N/A,P9988776,V-UAE-W1,VAC-COV-1032,AB-PMJAY-1032,N/A,N/A,MAR-2000-032,N/A,N/A,N/A,KSEB-44,N/A,N/A
33,Lata Mangesh,80,1945-09-28,F,N/A,Mumbai,142143144145,UYTRE2143T,MH/26/027/111222,N/A,N/A,BC-1945-033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK33,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1033,AB-PMJAY-1033,N/A,DIS-80-HEAR,MAR-1965-033,N/A,WILL-REG-2015,N/A,MSEDCL-22,N/A,OAP-MH-2010
34,Ashok Kumar,44,1981-02-14,M,9797979798,Patna,148149150151,IUYTR8765U,BR/27/028/333444,DL-BR-2005-034,RC-BR-1034,BC-1981-034,CST-OBC-034,COM-BC-034,BR-10-1996,BR-12-1998,TC-1998-034,RRB-NTPC-2024,N/A,N/A,N/A,N/A,ESHRAM-1034,LWB-BR-2015,N/A,N/A,N/A,BR01ZZ5555,PUC-2024-034,N/A,N/A,N/A,N/A,VAC-COV-1034,AB-PMJAY-1034,N/A,N/A,MAR-2006-034,N/A,N/A,N/A,BSPHCL-88,N/A,N/A
35,Tanu Weds,17,2008-05-05,F,N/A,Kanpur,154155156157,N/A,N/A,N/A,N/A,BC-2008-035,N/A,N/A,UP-10-2023,N/A,TC-2023-035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,Balbir Singh,59,1966-06-06,M,9911223345,Ludhiana,160161162163,PLMKO0987V,PB/28/029/555666,DL-PB-1990-036,RC-PB-1036,BC-1966-036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PMK-112233,PATTA-PB-44,N/A,PB10AA1234,PUC-2024-036,FT-1036,N/A,N/A,N/A,VAC-COV-1036,AB-PMJAY-1036,N/A,N/A,MAR-1990-036,N/A,N/A,N/A,PSPCL-77,N/A,N/A
37,Mary Kom,38,1987-03-01,F,9090909002,Imphal,166167168169,OKNJI1234W,MN/29/030/777888,DL-MN-2010-037,RC-MN-1037,BC-1987-037,CST-ST-037,COM-ST-037,MN-10-2002,MN-12-2004,TC-2004-037,N/A,EMP-MN-2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK37,MN01BB5555,PUC-2024-037,FT-1037,N/A,P1122334,V-JP-T1,VAC-COV-1037,N/A,MED-HDFC-1037,N/A,MAR-2012-037,N/A,N/A,PCC-2020-037,MSPDCL-33,N/A,N/A
38,Shivaji Rao,63,1962-12-12,M,8181818183,Chennai,172173174175,IJNBH5678X,TN/30/031/999000,DL-TN-1985-038,RC-TN-1038,BC-1962-038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LWB-TN-1990,N/A,N/A,N/A,TN01CC9999,PUC-2024-038,FT-1038,CHN-ONE-2024,N/A,N/A,VAC-COV-1038,AB-PMJAY-1038,N/A,N/A,MAR-1985-038,N/A,WILL-REG-2022,N/A,TNEB-88,N/A,OAP-TN-2022
39,Dinesh Karthik,39,1986-06-01,M,7272727274,Chennai,178179180181,UHBVG9876Y,TN/31/032/111222,DL-TN-2006-039,RC-TN-1039,BC-1986-039,N/A,COM-BC-039,TN-10-2001,TN-12-2003,TC-2003-039,N/A,N/A,1078901234,100900900900,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK39,TN02DD1111,PUC-2024-039,FT-1039,CHN-ONE-2024,P4455667,V-UK-B1,VAC-COV-1039,N/A,MED-STAR-1039,N/A,MAR-2015-039,N/A,N/A,N/A,TNEB-55,INDANE-66,N/A
40,Savitri Jindal,78,1947-08-15,F,N/A,Hisar,184185186187,GVCFD4321Z,HR/32/033/333444,N/A,N/A,BC-1947-040,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK40,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1040,AB-PMJAY-1040,N/A,N/A,MAR-1965-040,N/A,WILL-REG-2020,N/A,DHBVN-11,N/A,OAP-HR-2015
41,Mithali Raj,41,1984-12-03,F,9393939395,Jodhpur,190191192193,FDSAQ1234A,RJ/33/034/555666,DL-RJ-2005-041,RC-RJ-1041,BC-1984-041,N/A,N/A,RJ-10-1999,RJ-12-2001,TC-2001-041,N/A,EMP-RJ-2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK41,RJ19MM2222,PUC-2024-041,FT-1041,N/A,P5566778,V-NZ-T1,VAC-COV-1041,N/A,MED-SBI-1041,N/A,MAR-2010-041,N/A,N/A,PCC-2021-041,JVVNL-44,HP-33,N/A
42,Aryan Khan,16,2009-11-12,M,N/A,Mumbai,196197198199,N/A,N/A,N/A,N/A,BC-2009-042,N/A,N/A,ICSE-10-2024,N/A,TC-2024-042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BEST-PASS-42,N/A,N/A,VAC-COV-1042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43,Babu Rao,54,1971-04-01,M,8484848486,Mumbai,202203204205,REQW1234B,MH/34/035/777888,N/A,RC-MH-1043,BC-1971-043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ESHRAM-1043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1043,AB-PMJAY-1043,N/A,DIS-40-VIS,MAR-1995-043,N/A,N/A,N/A,MSEDCL-55,N/A,N/A
44,Raju Rastogi,26,1999-01-01,M,9595959597,Delhi,208209210211,VFRDE5678C,DL/35/036/999000,DL-DL-2018-044,RC-DL-1044,BC-1999-044,CST-GEN-044,N/A,CBSE-10-2014,CBSE-12-2016,TC-2016-044,GATE-2024,EMP-DL-2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK44,DL04RR4444,PUC-2024-044,FT-1044,N/A,N/A,N/A,VAC-COV-1044,N/A,MED-ACKO-1044,N/A,N/A,N/A,N/A,PCC-2023-044,EB-DL-22,IGL-88,N/A
45,Farhan Qureshi,26,1999-02-02,M,9696969698,Delhi,214215216217,MJHGT9876D,DL/36/037/111222,DL-DL-2018-045,RC-DL-1045,BC-1999-045,N/A,N/A,CBSE-10-2014,CBSE-12-2016,TC-2016-045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK45,DL05FF5555,PUC-2024-045,FT-1045,N/A,P6677889,V-EU-T1,VAC-COV-1045,N/A,MED-ACKO-1045,N/A,N/A,N/A,N/A,PCC-2024-045,EB-DL-33,IGL-77,N/A
46,Chatur R,26,1999-03-03,M,9797979799,Chennai,220221222223,NHYGT5432E,TN/37/038/333444,DL-TN-2019-046,RC-TN-1046,BC-1999-046,N/A,N/A,TN-10-2014,TN-12-2016,TC-2016-046,CAT-2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK46,TN01CC6666,PUC-2024-046,FT-1046,N/A,P7788990,V-US-B1,VAC-COV-1046,N/A,MED-ACKO-1046,N/A,MAR-2024-046,N/A,N/A,PCC-2024-046,TNEB-11,N/A,N/A
47,Virus S,60,1965-04-04,M,9898989899,Delhi,226227228229,BGTRF1234F,DL/38/039/555666,DL-DL-1985-047,RC-DL-1047,BC-1965-047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK47,DL01VV7777,PUC-2024-047,FT-1047,N/A,P8899001,V-UK-T1,VAC-COV-1047,N/A,MED-LIC-1047,N/A,MAR-1990-047,N/A,WILL-REG-2023,N/A,EB-DL-44,IGL-66,OAP-DL-2025
48,Millie Bobby,12,2013-05-05,F,N/A,Goa,232233234235,N/A,N/A,N/A,N/A,BC-2013-048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49,Kabir Singh,30,1995-06-06,M,9999999991,Delhi,238239240241,MJUHY6789G,DL/39/040/777888,DL-DL-2015-049,RC-DL-1049,BC-1995-049,N/A,N/A,CBSE-10-2010,CBSE-12-2012,TC-2012-049,NEET-PG-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK49,DL08KS8888,PUC-2024-049,FT-1049,N/A,P9900112,V-UK-T1,VAC-COV-1049,N/A,MED-MAX-1049,N/A,N/A,N/A,N/A,PCC-2019-049,EB-DL-55,IGL-55,N/A
50,Preeti Sikka,28,1997-07-07,F,9999999992,Delhi,244245246247,NHYJU1234H,DL/40/041/999000,DL-DL-2016-050,RC-DL-1050,BC-1997-050,N/A,N/A,CBSE-10-2012,CBSE-12-2014,TC-2014-050,NEET-PG-2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK50,DL09PS9999,PUC-2024-050,FT-1050,N/A,P0011223,V-US-T1,VAC-COV-1050,N/A,MED-MAX-1050,N/A,MAR-2022-050,N/A,N/A,N/A,EB-DL-66,IGL-44,N/A
